"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Art Arciniega";"King Arthur";15;7;0;172.72;65.77;0.0;"";"";1.53;46.0;2.73;51.0;0.0;0.0;50.0;1.0;-24.7727
"Artem Lobov";"The Russian Hammer";13;15;1;175.26;65.77;165.1;"Southpaw";"1986-08-11";3.52;41.0;4.82;50.0;0.39;25.0;52.0;0.0;-69.1724
"Artur Oumakhanov";"";9;6;0;170.18;69.85;0.0;"Orthodox";"1979-02-27";1.2;33.0;1.67;82.0;3.0;75.0;33.0;0.0;-24.6
"Ashley Yoder";"SpiderMonkey";8;9;0;170.18;52.16;175.26;"Southpaw";"1987-10-20";3.42;39.0;4.13;47.0;1.09;27.0;66.0;0.6;-41.2353
"Askar Askar";"AK-47";11;1;0;170.18;65.77;175.26;"Orthodox";"1994-08-19";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.08333
"Askar Askarov";"Bullet";14;1;1;167.64;56.7;170.18;"Orthodox";"1992-10-09";3.05;54.0;2.8;57.0;2.6;24.0;66.0;0.4;7.25
"Aspen Ladd";"";9;3;0;167.64;61.23;167.64;"Orthodox";"1995-03-01";3.78;47.0;4.65;47.0;1.56;47.0;62.0;0.6;-8.25
"Assu Almabayev";"Zulfikar";18;2;0;162.56;56.7;165.1;"Orthodox";"1994-01-25";3.18;65.0;0.49;77.0;3.67;40.0;0.0;3.7;6.2
"Assuerio Silva";"";16;8;0;177.8;109.32;0.0;"Orthodox";"1974-06-18";1.42;46.0;4.2;54.0;2.66;34.0;25.0;1.8;-29.3333
"Austen Lane";"";12;4;0;198.12;111.13;203.2;"Orthodox";"1987-11-09";4.48;47.0;2.85;48.0;0.0;0.0;0.0;0.0;-11.0
"Austin Arnett";"";16;6;0;182.88;65.77;182.88;"Orthodox";"1991-10-22";4.52;41.0;6.38;62.0;0.44;18.0;57.0;0.2;-18.3636
"Austin Springer";"";12;4;0;172.72;65.77;180.34;"Orthodox";"1987-05-12";3.54;57.0;3.15;41.0;3.37;40.0;100.0;0.8;-11.0
"Austin Vanderford";"AK-47";4;0;0;180.34;77.11;0.0;"Orthodox";"1990-03-21";3.9;52.0;5.19;45.0;0.0;0.0;100.0;1.9;4.0
"Bahatebole Batebolati";"Lion King";8;1;1;180.34;70.31;180.34;"Southpaw";"1997-09-12";4.34;47.0;4.62;64.0;2.04;100.0;100.0;0.0;1.4
"Barb Honchak";"Little Warrior";10;4;0;162.56;56.7;165.1;"Orthodox";"1979-08-30";4.04;30.0;4.67;66.0;0.0;0.0;0.0;1.3;-12.8571
"Bart Palaszewski";"Bartimus";36;17;0;175.26;65.77;177.8;"Orthodox";"1983-05-30";2.67;32.0;3.97;57.0;0.65;31.0;53.0;0.5;-60.5472
"Bea Malecki";"";4;1;0;175.26;61.23;187.96;"Orthodox";"1991-08-23";6.84;46.0;6.96;62.0;0.0;0.0;78.0;1.1;-1.8
"Bec Rawlings";"Rowdy";7;8;0;167.64;56.7;162.56;"Orthodox";"1989-02-11";4.48;42.0;5.66;57.0;0.71;40.0;68.0;0.4;-36.7333
"Belal Muhammad";"Remember the Name";23;3;0;180.34;77.11;182.88;"Orthodox";"1988-07-09";4.55;43.0;3.64;57.0;1.98;35.0;93.0;0.2;5.34615
"Ben Alloway";"Blanco";18;8;0;180.34;77.11;193.04;"Orthodox";"1981-02-19";1.28;49.0;1.9;59.0;0.62;50.0;26.0;0.0;-27.5385
"Ben Askren";"Funky";19;2;0;180.34;77.11;185.42;"Orthodox";"1984-07-18";3.64;49.0;5.66;36.0;4.33;55.0;0.0;0.9;7.19048
"Ben Jones";"Blitzkrieg";4;4;0;0.0;83.91;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-18.0
"Ben Lagman";"Bad News";6;5;0;187.96;83.91;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-21.7273
"Ben Nguyen";"Ten";16;8;0;165.1;56.7;165.1;"Switch";"1988-08-03";3.51;40.0;3.01;59.0;0.25;33.0;63.0;1.0;-29.3333
"Ben Rothwell";"";39;14;0;193.04;120.2;198.12;"Orthodox";"1981-10-17";3.71;42.0;4.63;47.0;0.68;34.0;70.0;0.4;-41.3019
"Ben Saunders";"Killa B";22;13;2;187.96;77.11;195.58;"Orthodox";"1983-04-13";3.23;50.0;3.58;51.0;0.2;40.0;66.0;1.3;-51.9189
"Beneil Dariush";"";22;6;1;177.8;70.31;182.88;"Southpaw";"1989-05-06";3.78;48.0;2.65;57.0;1.9;34.0;80.0;0.9;-13.3103
"Benito Lopez";"Golden Boy";10;2;0;177.8;61.23;185.42;"Switch";"1994-04-06";4.39;45.0;5.18;56.0;0.0;0.0;73.0;0.3;-1.66667
"Benji Radach";"Razor";21;7;0;177.8;83.91;0.0;"Orthodox";"1979-04-05";2.62;49.0;2.31;51.0;1.06;41.0;71.0;0.4;-19.25
"Benoit Saint Denis";"God of War";13;1;0;180.34;70.31;185.42;"Southpaw";"1995-12-18";5.53;52.0;5.2;44.0;4.55;36.0;66.0;1.4;7.07143
"Benson Henderson";"Smooth";24;7;0;175.26;77.11;177.8;"Southpaw";"1983-11-16";2.93;45.0;1.79;63.0;2.4;45.0;63.0;0.8;-16.4194
"Bernardo Magalhaes";"Trekko";13;4;0;175.26;70.31;0.0;"Orthodox";"1981-04-08";1.8;27.0;3.37;68.0;0.0;0.0;0.0;0.5;-10.0588
"Bertrand Amoussou";"";1;1;0;172.72;86.18;0.0;"Orthodox";"";6.75;39.0;2.01;83.0;0.0;0.0;0.0;0.0;-4.5
"Bethe Correia";"Pitbull";11;6;1;165.1;61.23;162.56;"Orthodox";"1983-06-22";4.37;43.0;4.93;56.0;0.39;18.0;85.0;0.0;-23.2778
"Bibiano Fernandes";"";20;3;0;170.18;63.05;0.0;"Orthodox";"1980-03-30";2.91;40.0;2.02;72.0;3.97;53.0;77.0;0.6;2.3913
"Bill Algeo";"Senor Perfecto";18;7;0;182.88;65.77;185.42;"Switch";"1989-06-09";6.11;52.0;4.41;47.0;0.89;46.0;56.0;0.1;-22.04
"Bill Cooper";"";2;1;0;0.0;70.31;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.66667
"Bill Mahood";"The Butcher";20;7;1;190.5;90.72;0.0;"Orthodox";"1967-02-01";1.54;85.0;3.59;17.0;0.0;0.0;0.0;3.9;-20.7143
"Billy Evangelista";"";13;3;0;172.72;70.31;172.72;"Orthodox";"1980-10-07";4.51;40.0;3.96;61.0;1.6;19.0;61.0;0.2;-4.4375
"Billy Giovanella";"Wolverine";9;5;0;172.72;56.7;0.0;"";"";1.27;40.0;2.02;52.0;0.87;12.0;100.0;1.7;-19.2143
"Billy Pasulatan";"";10;3;0;165.1;56.7;167.64;"Switch";"1991-08-07";0.65;20.0;5.22;48.0;0.0;0.0;0.0;4.9;-7.30769
"Billy Quarantillo";"";18;5;0;177.8;65.77;177.8;"Orthodox";"1988-12-08";7.71;57.0;5.61;43.0;1.31;23.0;63.0;1.2;-10.913
"BJ Penn";"The Prodigy";16;14;2;175.26;70.31;177.8;"Orthodox";"1978-12-13";2.76;48.0;3.2;56.0;1.19;55.0;74.0;0.5;-62.0
"Blagoy Ivanov";"Baga";19;6;0;180.34;113.4;185.42;"Southpaw";"1986-10-09";3.25;40.0;4.2;53.0;0.69;40.0;61.0;0.1;-15.56
"Blake Bilder";"El Animal";8;1;1;172.72;65.77;172.72;"Switch";"1990-07-12";4.96;50.0;4.54;56.0;0.45;10.0;100.0;0.9;1.4
"Blas Avena";"The Disciple";8;7;0;182.88;77.11;187.96;"Orthodox";"1983-06-30";2.34;47.0;3.36;43.0;2.37;80.0;50.0;1.8;-30.7333
"Bo Nickal";"";5;0;0;185.42;83.91;193.04;"Southpaw";"1996-01-14";2.76;62.0;0.55;75.0;11.04;50.0;0.0;13.8;5.0
"Bobby Cooper";"Super Duper";12;7;0;185.42;70.31;0.0;"";"";2.87;25.0;3.4;59.0;0.0;0.0;40.0;1.0;-27.4211
"Bobby Green";"King";31;15;1;177.8;70.31;180.34;"Orthodox";"1986-09-09";6.14;52.0;3.74;62.0;1.2;37.0;74.0;0.3;-54.5532
"Bobby Hoffman";"The Truth";36;10;1;187.96;111.13;0.0;"Orthodox";"1968-10-28";2.02;70.0;1.32;19.0;1.17;50.0;0.0;1.2;-22.4255
"Bobby McAndrews";"";1;3;0;0.0;0.0;0.0;"Orthodox";"";2.56;83.0;1.03;50.0;0.0;0.0;33.0;7.7;-14.75
"Bobby Moffett";"The Wolfman";13;5;0;177.8;65.77;185.42;"Orthodox";"1990-06-01";3.41;39.0;3.15;61.0;2.74;66.0;66.0;1.4;-15.6111
"Bobby Nash";"";8;4;0;182.88;77.11;187.96;"Orthodox";"1990-03-26";3.42;37.0;3.95;51.0;2.37;33.0;100.0;1.6;-14.6667
"Bobby Southworth";"";10;6;0;187.96;92.99;0.0;"Orthodox";"1969-12-16";0.99;39.0;1.38;65.0;3.98;78.0;64.0;1.3;-23.75
"Bojan Velickovic";"Serbian Steel";15;6;1;182.88;77.11;193.04;"Southpaw";"1988-12-18";2.18;34.0;2.31;57.0;0.67;25.0;55.0;0.5;-19.7727
"Brad Blackburn";"Bad Brad";18;13;1;177.8;77.11;185.42;"Orthodox";"1977-05-25";4.55;35.0;3.59;65.0;0.93;50.0;76.0;0.7;-54.875
"Brad Imes";"Hillbilly Heartthrob";13;7;0;200.66;120.2;0.0;"Orthodox";"1977-03-13";2.73;31.0;4.24;49.0;1.72;71.0;0.0;1.0;-26.55
"Brad Katona";"Superman";15;2;0;167.64;61.23;162.56;"Orthodox";"1991-12-19";4.8;51.0;4.57;50.0;1.0;20.0;50.0;0.0;3.23529
"Brad Mitchell";"";4;2;0;180.34;65.77;0.0;"";"";1.15;33.0;4.2;52.0;0.0;0.0;100.0;1.9;-7.33333
"Brad Pickett";"One Punch";25;14;0;167.64;61.23;172.72;"Orthodox";"1978-09-24";3.02;31.0;4.63;55.0;2.47;44.0;58.0;0.4;-53.9744
"Brad Scott";"Bear";11;6;0;185.42;77.11;193.04;"Orthodox";"1989-06-24";3.52;41.0;4.31;57.0;0.32;15.0;63.0;0.7;-22.8824
"Brad Tavares";"";20;9;0;185.42;83.91;187.96;"Orthodox";"1987-12-21";3.38;43.0;3.03;56.0;0.81;26.0;82.0;0.0;-31.2069
"Brady Fink";"";2;3;0;182.88;83.01;0.0;"Orthodox";"";1.69;41.0;1.69;61.0;3.63;25.0;0.0;3.6;-14.2
"Brady Hiestand";"";8;2;0;172.72;61.23;180.34;"Orthodox";"1999-04-30";2.93;52.0;3.65;53.0;4.06;46.0;42.0;0.3;-3.6
"Branden Lee Hinkle";"The Iron Lion";17;11;0;190.5;106.59;0.0;"Orthodox";"1973-07-29";2.61;69.0;3.91;26.0;4.34;57.0;66.0;4.3;-44.6786
"Brandon Cash";"Money";10;4;0;195.58;115.67;0.0;"Orthodox";"";5.42;72.0;0.68;33.0;10.17;66.0;0.0;0.0;-12.8571
"Brandon Davis";"Killer B";14;10;0;177.8;61.23;182.88;"Orthodox";"1990-05-08";4.68;35.0;4.62;58.0;0.74;42.0;57.0;0.1;-41.8333
"Brandon Halsey";"Bull";9;3;0;182.88;83.91;0.0;"";"";1.74;47.0;0.87;65.0;4.98;53.0;100.0;1.2;-8.25
"Brandon Jenkins";"The Human Highlight Reel";15;9;0;182.88;70.31;180.34;"Switch";"1991-09-30";2.93;41.0;8.05;33.0;0.0;0.0;27.0;0.0;-35.625
"Brandon Lowe";"";2;1;0;0.0;70.31;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.66667
"Brandon Michaels";"";4;14;0;175.26;83.91;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-69.1111
"Brandon Moreno";"The Assassin Baby";21;7;2;170.18;56.7;177.8;"Orthodox";"1993-12-07";3.8;43.0;3.4;56.0;1.73;45.0;64.0;0.5;-20.3
"Brandon Royval";"Raw Dawg";15;6;0;175.26;56.7;172.72;"Southpaw";"1992-08-16";3.45;38.0;2.63;50.0;0.66;100.0;39.0;2.3;-19.2857
"Brandon Saling";"White Steel";8;6;0;177.8;77.11;0.0;"";"";2.88;40.0;6.08;20.0;0.0;0.0;57.0;0.0;-25.4286
"Brandon Sene";"";2;2;0;180.34;92.99;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.0
"Brandon Shuey";"Big Dawg";7;6;0;170.18;70.31;0.0;"Orthodox";"1976-02-01";0.68;33.0;1.36;0.0;0.0;0.0;0.0;10.2;-26.2308
"Brandon Thatch";"Rukus";11;5;0;187.96;77.11;187.96;"Switch";"1985-07-11";2.7;42.0;3.63;52.0;1.36;66.0;50.0;0.7;-17.4375
"Brandon Vera";"The Truth";15;7;0;190.5;104.33;198.12;"Orthodox";"1977-10-10";3.03;56.0;2.81;52.0;0.7;53.0;59.0;0.2;-24.7727
"Brendan Allen";"All In";23;5;0;187.96;83.91;190.5;"Orthodox";"1995-12-28";3.87;54.0;3.6;46.0;1.36;47.0;58.0;1.7;-6.10714
"Brendan O'Reilly";"Badger";6;3;0;170.18;77.11;175.26;"Orthodox";"1987-06-24";1.9;47.0;2.77;39.0;2.22;43.0;36.0;0.6;-11.0
"Brendan Schaub";"Big Brown";10;5;0;193.04;111.13;198.12;"Orthodox";"1983-03-18";2.92;37.0;2.22;57.0;2.32;46.0;72.0;0.4;-18.3333
"Brennan Ward";"The Irish Bad Boy";14;5;0;177.8;77.11;180.34;"";"";7.2;60.0;2.76;52.0;0.0;0.0;100.0;3.6;-14.6842
"Brent Primus";"";8;0;0;177.8;70.31;0.0;"";"";1.73;39.0;2.27;59.0;5.0;38.0;0.0;2.0;8.0
"Bret Bergmark";"The Angry Hick";6;1;1;175.26;77.11;0.0;"";"";2.78;52.0;2.78;37.0;4.17;100.0;50.0;4.2;-0.5
"Brett Johns";"The Pikey";17;2;0;170.18;61.23;180.34;"Orthodox";"1992-02-21";2.86;49.0;3.84;53.0;4.92;49.0;58.0;1.0;5.21053
"Brian Bowles";"";10;3;0;170.18;61.23;177.8;"Orthodox";"1980-06-22";2.36;26.0;2.98;64.0;1.39;70.0;54.0;1.4;-7.30769
"Brian Camozzi";"Mantis";7;5;0;187.96;77.11;198.12;"Orthodox";"1991-06-24";3.15;26.0;6.39;54.0;0.0;0.0;0.0;0.7;-20.9167
"Brian Ebersole";"Bad Boy";51;18;1;182.88;77.11;185.42;"Southpaw";"1980-11-27";2.32;49.0;2.14;56.0;1.7;23.0;61.0;0.1;-52.8429
"Brian Foster";"The Foster Boy";27;10;0;175.26;77.11;180.34;"Orthodox";"1984-04-03";3.3;39.0;1.63;65.0;3.67;60.0;37.0;1.8;-30.2973
"Brian Kelleher";"Boom";24;14;0;167.64;61.23;167.64;"Switch";"1986-08-19";3.36;41.0;4.61;54.0;1.79;42.0;60.0;0.7;-54.8421
"Brian Ortega";"T-City";15;3;0;172.72;65.77;175.26;"Switch";"1991-02-21";4.19;38.0;6.66;49.0;0.95;23.0;56.0;1.2;-2.5
"Brian Rogers";"The Professional Predator";14;9;0;180.34;83.91;0.0;"";"";4.79;38.0;5.76;58.0;1.22;50.0;100.0;0.6;-36.4783
"Brian Schwartz";"";1;1;0;190.5;77.11;0.0;"Orthodox";"";1.27;44.0;0.87;45.0;0.0;0.0;50.0;1.0;-4.5
"Brian Stann";"All American";12;6;0;185.42;92.99;187.96;"Orthodox";"1980-09-24";3.28;42.0;2.65;59.0;0.12;12.0;60.0;0.3;-22.0
"Brock Jardine";"The Machine";12;6;0;180.34;77.11;0.0;"Orthodox";"1985-07-10";1.06;30.0;3.34;56.0;0.0;0.0;14.0;0.8;-22.0
"Brock Larson";"";42;10;0;180.34;77.11;180.34;"Southpaw";"1977-08-23";1.39;46.0;1.5;55.0;2.67;34.0;43.0;2.0;-16.0769
"Brock Lesnar";"";5;3;0;190.5;120.2;205.74;"Orthodox";"1977-07-12";3.53;72.0;2.11;50.0;3.9;55.0;60.0;0.5;-11.875
"Brodie Farber";"";16;7;0;185.42;77.11;0.0;"Orthodox";"1980-07-05";1.69;45.0;2.17;53.0;0.9;50.0;20.0;0.9;-23.8696
"Brok Weaver";"Chata Tuska";15;6;0;182.88;70.31;185.42;"Southpaw";"1991-12-05";4.78;64.0;4.35;46.0;0.41;10.0;66.0;0.4;-19.2857
"Brooke Mayo";"The Bully";0;1;0;170.18;56.7;0.0;"";"";1.92;34.0;3.2;63.0;3.2;60.0;0.0;2.1;-5.0
"Bruno Assis";"Brunao";8;4;0;187.96;83.91;0.0;"Orthodox";"1992-05-23";1.27;43.0;3.2;36.0;2.0;50.0;66.0;1.0;-14.6667
"Bruno Carvalho";"";10;5;0;172.72;69.85;0.0;"";"";0.6;45.0;0.93;53.0;0.0;0.0;66.0;4.0;-18.3333
"Bruno Lopes";"Brunao";11;1;0;187.96;92.99;190.5;"Orthodox";"1993-04-24";5.29;35.0;8.46;53.0;0.0;0.0;0.0;0.0;5.08333
"Bruno Oliveira";"";8;2;0;193.04;92.99;203.2;"Orthodox";"1984-05-02";3.44;33.0;4.92;54.0;0.0;0.0;0.0;0.0;-3.6
"Bruno Santos";"Carioca";15;2;0;175.26;83.91;0.0;"Orthodox";"1987-07-17";1.18;46.0;2.27;56.0;3.0;37.0;66.0;0.3;3.23529
"Bruno Silva";"Bulldog";13;5;2;162.56;56.7;165.1;"Orthodox";"1990-03-16";3.05;46.0;3.09;59.0;2.57;30.0;64.0;0.3;-16.55
"Bryan Baker";"The Beast";18;5;0;190.5;83.91;0.0;"Orthodox";"1985-10-13";1.78;52.0;2.83;45.0;0.44;50.0;37.0;0.9;-10.913
"Bryan Barberena";"Bam Bam";18;11;0;182.88;77.11;182.88;"Southpaw";"1989-05-03";5.53;48.0;4.74;44.0;0.14;22.0;49.0;0.3;-43.8276
"Bryan Battle";"Pooh Bear";11;2;0;185.42;77.11;195.58;"Orthodox";"1994-09-21";4.52;54.0;3.73;42.0;0.94;25.0;45.0;0.6;-0.692308
"Bryan Caraway";"Kid Lightning";21;9;0;172.72;61.23;172.72;"Orthodox";"1984-08-04";2.53;34.0;3.61;54.0;2.57;25.0;80.0;0.8;-30.3
"Bryan Travers";"";15;4;0;0.0;70.31;0.0;"";"";2.33;48.0;3.93;55.0;2.0;28.0;63.0;0.0;-8.1579
"Bryce Mitchell";"Thug Nasty";16;2;0;177.8;65.77;177.8;"Southpaw";"1994-10-04";2.34;58.0;1.64;58.0;3.51;41.0;33.0;1.6;4.22222
"Bu-Kyung Jung";"";0;4;0;170.18;69.85;0.0;"Orthodox";"1978-05-26";0.63;36.0;1.85;56.0;1.1;75.0;0.0;1.5;-20.0
"Buck Meredith";"";3;3;0;187.96;83.91;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-13.5
"Buddy Roberts";"";12;3;0;187.96;83.91;0.0;"Orthodox";"1982-10-17";2.17;34.0;2.08;70.0;0.0;0.0;76.0;0.7;-5.4
"Cain Velasquez";"";14;3;0;185.42;108.86;195.58;"Orthodox";"1982-07-28";6.37;57.0;2.33;57.0;5.13;45.0;85.0;0.4;-3.47059
"Caio Borralho";"The Natural";15;1;0;177.8;83.91;190.5;"Southpaw";"1993-01-16";2.73;58.0;1.98;60.0;2.16;63.0;57.0;0.5;9.0625
"Caio Magalhaes";"Hellboy";10;3;0;185.42;83.91;185.42;"Orthodox";"1987-12-14";2.27;40.0;2.78;56.0;1.05;15.0;58.0;1.6;-7.30769
"Cale Yarbrough";"";8;3;0;185.42;83.91;0.0;"Orthodox";"1986-12-27";3.16;27.0;10.0;72.0;0.0;0.0;0.0;0.0;-9.18182
"Calvin Kattar";"";23;7;0;180.34;65.77;182.88;"Orthodox";"1988-03-26";5.12;39.0;7.1;54.0;0.42;29.0;91.0;0.1;-17.3667
"Cameron Church";"";4;1;0;180.34;70.31;182.88;"Orthodox";"1990-09-27";4.0;40.0;4.93;50.0;0.0;0.0;60.0;1.0;-1.8
"Cameron Olson";"Cap'n Crunch";7;3;0;185.42;92.99;190.5;"Orthodox";"1989-11-22";3.13;47.0;2.2;57.0;3.0;42.0;100.0;1.0;-10.1
"Cameron Saaiman";"MSP";9;1;0;172.72;61.23;170.18;"Southpaw";"2000-12-20";5.28;46.0;3.24;55.0;1.0;36.0;44.0;0.8;3.1
"Caol Uno";"Uno Shoten";33;19;5;170.18;70.31;177.8;"Southpaw";"1975-05-08";1.91;49.0;1.9;50.0;1.95;31.0;37.0;0.5;-75.8947
"Caolan Loughran";"The Don";8;1;0;167.64;61.23;172.72;"Orthodox";"1996-05-18";3.2;36.0;5.6;48.0;2.0;18.0;0.0;0.0;2.11111
"Carla Esparza";"Cookie Monster";20;7;0;154.94;52.16;160.02;"Orthodox";"1987-10-10";2.16;40.0;2.69;55.0;3.22;35.0;47.0;0.3;-20.1852
"Carli Judice";"Crispy";3;1;0;170.18;56.7;172.72;"Southpaw";"1999-03-02";11.2;57.0;12.27;54.0;0.0;0.0;50.0;0.0;-2.75
"Carlo Prater";"Neo";31;18;1;180.34;70.31;182.88;"Switch";"1981-06-25";2.03;47.0;4.07;35.0;0.43;9.0;57.0;1.7;-70.78
"Carlos Candelario";"The Cannon";8;3;0;172.72;56.7;172.72;"Southpaw";"1991-06-04";3.97;46.0;5.17;44.0;2.28;36.0;53.0;0.3;-9.18182
"Carlos Condit";"The Natural Born Killer";32;14;0;187.96;77.11;190.5;"Orthodox";"1984-04-26";3.66;39.0;2.67;55.0;0.59;46.0;38.0;1.0;-47.7391
"Carlos Eduardo Rocha";"Ta Danado";9;4;0;177.8;77.11;185.42;"Orthodox";"1981-07-12";1.24;34.0;1.85;55.0;0.0;0.0;52.0;1.4;-13.7692
"Carlos Hernandez";"";9;2;0;172.72;56.7;170.18;"Orthodox";"1993-10-25";5.51;46.0;4.41;49.0;1.24;16.0;65.0;0.3;-2.63636
"Carlos Mota";"Tizil";8;2;0;162.56;56.7;175.26;"Orthodox";"1995-04-15";0.8;41.0;1.13;54.0;0.0;0.0;50.0;1.0;-3.6
"Carlos Newton";"The Ronin";16;14;0;175.26;77.11;0.0;"Orthodox";"1976-08-17";0.65;41.0;1.55;44.0;2.47;70.0;43.0;0.9;-61.4667
"Carlos Ulberg";"Black Jag";10;1;0;193.04;92.99;195.58;"Orthodox";"1990-11-07";7.29;59.0;3.59;52.0;0.95;75.0;75.0;0.3;4.09091
"Carlston Harris";"Mocambique";19;5;0;182.88;77.11;193.04;"Orthodox";"1987-07-09";2.93;49.0;2.44;53.0;2.05;29.0;55.0;0.8;-9.95833
"Carlton Jones";"";1;4;0;185.42;102.06;0.0;"Orthodox";"";2.32;41.0;3.58;56.0;4.02;50.0;57.0;2.7;-19.8
"Carmelo Marrero";"The Fury";16;6;0;182.88;92.99;185.42;"Orthodox";"1981-01-26";0.84;34.0;2.04;54.0;3.21;36.0;36.0;0.9;-18.3636
"Casey Kenney";"";16;4;1;170.18;61.23;172.72;"Southpaw";"1991-03-20";4.85;42.0;4.67;58.0;1.09;35.0;61.0;0.4;-7.80952
"Casey O'Neill";"King";9;1;0;167.64;56.7;175.26;"Orthodox";"1997-10-07";8.77;55.0;5.9;58.0;1.96;42.0;71.0;0.7;3.1
"Casey Olson";"The Underdog";14;5;0;170.18;65.77;0.0;"Orthodox";"";2.48;60.0;0.0;100.0;3.54;57.0;100.0;1.8;-14.6842
"Cat Zingano";"Alpha";10;4;0;167.64;65.77;172.72;"Southpaw";"1982-07-01";2.57;61.0;1.63;47.0;2.77;65.0;42.0;0.8;-12.8571
"Cathal Pendred";"The Punisher";17;4;1;185.42;77.11;190.5;"Orthodox";"1987-09-02";2.49;44.0;3.01;55.0;2.46;23.0;83.0;0.4;-6.86364
"CB Dollaway";"The Doberman";17;9;0;187.96;83.91;193.04;"Orthodox";"1983-08-10";2.65;47.0;2.58;54.0;3.55;54.0;62.0;1.2;-33.8846
"Cesar Arzamendia";"Goku";8;3;0;180.34;70.31;0.0;"Orthodox";"1991-01-31";5.37;45.0;5.2;56.0;7.32;75.0;0.0;2.4;-9.18182
"Cezar Ferreira";"Mutante";13;8;0;185.42;83.91;198.12;"Southpaw";"1985-02-15";1.9;42.0;2.44;53.0;2.69;53.0;84.0;0.5;-31.9524
"Chad Anheliger";"The Monster";12;7;0;167.64;61.23;162.56;"Orthodox";"1986-12-01";3.07;42.0;3.55;51.0;1.03;36.0;47.0;0.8;-27.4211
"Chad Corvin";"The Brave Warrior";5;0;0;195.58;115.67;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0
"Chad George";"Savage";16;8;0;167.64;61.23;172.72;"Southpaw";"1982-04-30";1.26;50.0;1.11;65.0;3.08;46.0;0.0;1.3;-29.3333
"Chad Hanekom";"Superman";9;3;0;193.04;83.91;187.96;"Orthodox";"1990-04-20";0.73;47.0;1.47;33.0;0.0;0.0;71.0;1.0;-8.25
"Chad Laprise";"The Disciple";13;4;0;177.8;77.11;180.34;"Orthodox";"1986-07-23";4.78;42.0;3.59;65.0;1.05;54.0;78.0;0.0;-10.0588
"Chad Mendes";"Money";18;5;0;167.64;65.77;167.64;"Orthodox";"1985-05-01";2.78;49.0;2.35;67.0;4.13;55.0;100.0;0.3;-10.913
"Chad Reiner";"The Grinder";33;18;0;180.34;77.11;0.0;"Orthodox";"1981-06-29";0.53;20.0;1.97;46.0;0.99;33.0;25.0;2.0;-68.6471
"Chad Robichaux";"Robo";13;2;0;162.56;61.23;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.26667
"Chad Sutton";"";2;2;0;185.42;83.91;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-9.0
"Chad Vance";"";7;5;0;182.88;83.91;0.0;"Orthodox";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-20.9167
"Chael Sonnen";"";29;15;1;185.42;92.99;185.42;"Southpaw";"1977-04-03";3.08;43.0;1.1;62.0;3.81;59.0;66.0;0.4;-56.3111
"Chalid Arrab";"Die Faust";7;3;0;180.34;92.99;0.0;"Orthodox";"1975-05-28";1.56;34.0;1.63;56.0;3.05;75.0;37.0;1.0;-10.1
"Chan Sung Jung";"The Korean Zombie";17;8;0;170.18;65.77;182.88;"Orthodox";"1987-03-17";3.93;41.0;4.52;52.0;0.7;44.0;72.0;0.6;-28.44
"Chance Rencountre";"Black Eagle";14;4;0;187.96;77.11;190.5;"Southpaw";"1986-12-31";1.1;20.0;3.62;49.0;1.35;26.0;16.0;0.3;-9.11111
"Charlene Gellner";"Princess";0;4;0;157.48;56.7;0.0;"";"";2.01;42.0;3.24;43.0;0.0;0.0;0.0;1.7;-20.0
"Charles Bennett";"Krazy Horse";30;33;2;172.72;70.31;0.0;"Orthodox";"1979-11-23";1.39;39.0;1.35;64.0;2.02;100.0;36.0;2.0;-151.154
"Charles Byrd";"Kid Dynamite";10;7;0;177.8;83.91;185.42;"Orthodox";"1983-10-11";3.43;55.0;2.63;55.0;2.5;50.0;40.0;1.5;-29.1176
"Charles Johnson";"InnerG";13;6;0;175.26;56.7;177.8;"Switch";"1991-01-10";4.34;55.0;3.27;54.0;0.19;14.0;62.0;0.2;-21.1053
"Charles Jourdain";"Air";15;6;1;175.26;65.77;175.26;"Switch";"1995-11-27";5.71;49.0;4.21;58.0;0.1;16.0;47.0;0.5;-19.7727
