"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"George Roop";"";15;13;1;185.42;61.23;182.88;"Orthodox";"1981-11-10";3.43;34.0;2.47;60.0;1.05;57.0;59.0;0.1;-57.2414
"George Sotiropoulos";"";14;7;0;177.8;70.31;180.34;"Orthodox";"1977-07-09";2.61;27.0;2.52;67.0;2.32;31.0;53.0;1.6;-25.6667
"George Sullivan";"The Silencer";17;7;0;182.88;77.11;185.42;"Orthodox";"1981-03-13";3.53;39.0;2.42;57.0;1.37;20.0;38.0;0.7;-22.9583
"Georges St-Pierre";"Rush";26;2;0;180.34;83.91;193.04;"Orthodox";"1981-05-19";3.78;53.0;1.4;72.0;4.16;74.0;83.0;1.1;14.1429
"Georgi Karakhanyan";"Insane";26;7;1;172.72;65.77;0.0;"";"";4.49;39.0;5.0;54.0;1.41;50.0;33.0;1.9;-15.1176
"Gerald Meerschaert";"GM3";35;17;0;185.42;83.91;195.58;"Southpaw";"1987-12-18";3.3;44.0;3.5;53.0;2.01;37.0;34.0;1.5;-61.4423
"Gerald Strebendt";"The Finishing Machine";9;7;0;175.26;70.31;0.0;"Orthodox";"1979-03-01";0.0;0.0;4.0;38.0;0.0;0.0;0.0;16.4;-29.9375
"Geraldo de Freitas";"Spartan";12;6;0;170.18;61.23;182.88;"Orthodox";"1991-09-30";3.67;52.0;2.62;50.0;3.0;45.0;59.0;0.0;-22.0
"Germaine de Randamie";"The Iron Lady";10;4;0;175.26;61.23;180.34;"Orthodox";"1984-04-24";2.72;46.0;2.14;65.0;0.0;0.0;69.0;0.4;-12.8571
"Gerry Harris";"";1;4;0;203.2;122.47;0.0;"Orthodox";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-19.8
"Gesias Cavalcante";"JZ";21;10;1;172.72;70.31;180.34;"Orthodox";"1983-07-06";1.98;35.0;3.11;51.0;1.25;36.0;66.0;1.1;-36.2188
"Giacomo Lemos";"";6;0;0;190.5;112.04;190.5;"Orthodox";"1989-06-23";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
